,Subway_Station,MTA Score Percent (%),Tech Company Percent (%),Strbks Distance Score Percent (%),Gender Percent (%),Final_Score
0,Times Sq - 42 St,100.0,55.670239516426314,78.77261737855889,25.01838069317786,75.17010467288335
1,E 14th St,94.85781469118601,38.314691878113514,40.15841858735719,69.2262050640422,73.04511492822205
2,34 Street - Herald Sq Station,75.45811038324715,54.950510683990586,84.8397654499202,25.01838069317786,63.701272750345765
3,59 St - Columbus Circle,52.320407486884555,30.560302414482276,77.56670589848514,89.90158267442311,60.35957152527202
4,Flushing Main Street,64.84889918243123,5.554431654991884,27.907102246929494,98.33219394533518,57.11011846557086
5,59 St - Lexington Avenue Subway Station,42.55871713730633,37.31423659667789,61.888235091200414,100.0,56.15972932183491
6,50 Street Subway Station,35.12815226494653,40.31233492701851,93.19865299806983,45.68214944470959,46.72715421017843
7,47-50 Streets - Rockefeller Center Station,18.413980072337182,100.0,94.63329750848253,25.01838069317786,43.405660801076536
8,14 Street / 8 Av,23.44699234914321,79.8335521529726,67.42154931989614,41.0682729887652,42.02541599325495
9,W 4 St,42.35248740488424,40.62647076514423,38.41925223935828,41.0682729887652,41.24675675087054
10,Atlantic Av-Barclays Center,54.10215422546037,10.969328943110646,21.80987371945169,45.754382344215564,41.118833980957646
11,57 Street,30.17280898240856,36.908443751481826,100.0,25.01838069317786,40.62634719256212
12,42 St - Bryant Pk,20.1411954407615,56.02032369818458,95.49489055605585,25.01838069317786,37.80155599715239
13,Roosevelt Av - Jackson Heights Subway Station,53.56752306337418,8.97897588381545,3.7513227546337977,44.08528641634527,37.51036361072353
14,Bedford-Nostrand Avs Station,45.940252935118316,10.830579469736934,0.0,63.78423001019,37.3515593900577
15,Jamaica Center - Parsons/Archer Station,33.664250464269,4.4530609899067635,7.093316946624399,89.38950301185393,36.441982524984965
16,Chambers St Subway Station,22.933190563347186,23.127368736504412,83.94201901929576,29.619358417067605,33.45087512845714
17,Broadway-Lafayette St,23.711865756718094,40.05357666158738,24.795027508477645,41.0682729887652,29.796878101621843
18,145 St,33.59247419824036,7.912414549378358,9.170599911550408,46.88173152579102,28.735035573417697
19,Junction Blvd,18.748353010030012,7.3465924652830195,0.0,63.78423001019,23.23301137684546
