,DAILY_ENTRIES,PREV_ENTRIES,ENTRIES,Stop Name,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Station ID,Complex ID,GTFS Stop ID,Division,Line,Borough,Daytime Routes,Structure,Latitude,Longitude
0,407980.0,60754764298.0,60755172278,1 av,118,118,118,118,118,118,118,118,119,119,L06,BMT,Canarsie,M,L,Subway,40.730953,-73.981628
1,571973.0,2980905663.0,2981477636,103 st,155,155,155,155,155,155,155,155,156,156,A18,IND,8th Av - Fulton St,M,B C,Subway,40.796092,-73.961454
2,571973.0,2980905663.0,2981477636,103 st,310,310,310,310,310,310,310,310,309,309,119,IRT,Broadway - 7Av,M,1,Subway,40.799446,-73.968379
3,571973.0,2980905663.0,2981477636,103 st,396,396,396,396,396,396,396,396,395,395,624,IRT,Lexington Av,M,6,Subway,40.7906,-73.947478
4,71193.0,96846659579.0,96846709626,104 st,81,81,81,81,81,81,81,81,82,82,J14,BMT,Jamaica,Q,J Z,Elevated,40.69517800000001,-73.84433
5,71193.0,96846659579.0,96846709626,104 st,193,193,193,193,193,193,193,193,193,193,A63,IND,Liberty Av,Q,A,Elevated,40.681711,-73.837683
6,191987.0,695659542.0,695851529,110 st,395,395,395,395,395,395,395,395,394,394,623,IRT,Lexington Av,M,6,Subway,40.79502,-73.94425
7,295875.0,2443315390.0,2443611265,111 st,80,80,80,80,80,80,80,80,81,81,J13,BMT,Jamaica,Q,J,Elevated,40.697418,-73.836345
8,295875.0,2443315390.0,2443611265,111 st,194,194,194,194,194,194,194,194,194,194,A64,IND,Liberty Av,Q,A,Elevated,40.684331,-73.832163
9,295875.0,2443315390.0,2443611265,111 st,450,450,450,450,450,450,450,450,449,449,705,IRT,Flushing,Q,7,Elevated,40.75173,-73.855334
10,608680.0,34275278623.0,34275887303,116 st,153,153,153,153,153,153,153,153,154,154,A16,IND,8th Av - Fulton St,M,B C,Subway,40.805085,-73.954882
11,608680.0,34275278623.0,34275887303,116 st,394,394,394,394,394,394,394,394,393,393,622,IRT,Lexington Av,M,6,Subway,40.798629,-73.94161700000002
12,608680.0,34275278623.0,34275887303,116 st,441,441,441,441,441,441,441,441,440,440,226,IRT,Lenox - White Plains Rd,M,2 3,Subway,40.802098,-73.949625
13,22000.0,181692638.0,181714638,121 st,79,79,79,79,79,79,79,79,80,80,J12,BMT,Jamaica,Q,J Z,Elevated,40.700492,-73.828294
14,1435449.0,74444404216.0,74445757923,125 st,152,152,152,152,152,152,152,152,153,153,A15,IND,8th Av - Fulton St,M,A B C D,Subway,40.811109,-73.952343
15,1435449.0,74444404216.0,74445757923,125 st,307,307,307,307,307,307,307,307,306,306,116,IRT,Broadway - 7Av,M,1,Elevated,40.815581,-73.958372
16,1435449.0,74444404216.0,74445757923,125 st,393,393,393,393,393,393,393,393,392,392,621,IRT,Lexington Av,M,4 5 6,Subway,40.804138,-73.93759399999998
17,1435449.0,74444404216.0,74445757923,125 st,440,440,440,440,440,440,440,440,439,439,225,IRT,Lenox - White Plains Rd,M,2 3,Subway,40.807753999999996,-73.945495
18,345612.0,4973150540.0,4973496152,135 st,151,151,151,151,151,151,151,151,152,152,A14,IND,8th Av - Fulton St,M,B C,Subway,40.817894,-73.947649
19,345612.0,4973150540.0,4973496152,135 st,439,439,439,439,439,439,439,439,438,438,224,IRT,Lenox - White Plains Rd,M,2 3,Subway,40.814229,-73.94077
20,1305503.0,91727198857.0,91728316362,14 st,165,165,165,165,165,165,165,165,166,618,A31,IND,8th Av - Fulton St,M,A C E,Subway,40.740893,-74.00169
21,1305503.0,91727198857.0,91728316362,14 st,230,230,230,230,230,230,230,230,229,601,D19,IND,6th Av - Culver,M,F M,Subway,40.738228,-73.996209
22,1305503.0,91727198857.0,91728316362,14 st,323,323,323,323,323,323,323,323,322,601,132,IRT,Broadway - 7Av,M,1 2 3,Subway,40.737826,-74.000201
23,1932790.0,17735246353.0,17737179143,14 st - union sq,14,14,14,14,14,14,14,14,15,602,R20,BMT,Broadway - Brighton,M,N Q R W,Subway,40.735735999999996,-73.99056800000002
24,1932790.0,17735246353.0,17737179143,14 st - union sq,407,407,407,407,407,407,407,407,406,602,635,IRT,Lexington Av,M,4 5 6,Subway,40.734673,-73.989951
25,632029.0,18809446839.0,18810078868,145 st,149,149,149,149,149,149,149,149,151,151,A12,IND,8th Av - Fulton St,M,A C,Subway,40.824783000000004,-73.944216
26,632029.0,18809446839.0,18810078868,145 st,150,150,150,150,150,150,150,150,151,151,D13,IND,Concourse,M,B D,Subway,40.824783000000004,-73.944216
27,632029.0,18809446839.0,18810078868,145 st,305,305,305,305,305,305,305,305,304,304,114,IRT,Broadway - 7Av,M,1,Subway,40.826551,-73.95036
28,632029.0,18809446839.0,18810078868,145 st,438,438,438,438,438,438,438,438,437,437,302,IRT,Lenox - White Plains Rd,M,3,Subway,40.820421,-73.936245
29,133129.0,722005749.0,722138878,155 st,148,148,148,148,148,148,148,148,150,150,A11,IND,8th Av - Fulton St,M,C,Subway,40.830518,-73.941514
30,133129.0,722005749.0,722138878,155 st,221,221,221,221,221,221,221,221,220,220,D12,IND,Concourse,M,B D,Subway,40.830135,-73.938209
31,189441.0,774577941.0,774767382,157 st,304,304,304,304,304,304,304,304,303,303,113,IRT,Broadway - 7Av,M,1,Subway,40.834041,-73.94489
32,328138.0,36924674174.0,36925002312,167 st,219,219,219,219,219,219,219,219,218,218,D10,IND,Concourse,Bx,B D,Subway,40.833771,-73.91844
33,328138.0,36924674174.0,36925002312,167 st,389,389,389,389,389,389,389,389,388,388,413,IRT,Jerome Av,Bx,4,Elevated,40.835537,-73.9214
34,483456.0,3013017299.0,3013500755,168 st,146,146,146,146,146,146,146,146,148,605,A09,IND,8th Av - Fulton St,M,A C,Subway,40.840719,-73.939561
35,138022.0,576225726.0,576363748,169 st,256,256,256,256,256,256,256,256,255,255,F02,IND,Queens Blvd,Q,F,Subway,40.71047,-73.793604
36,266964.0,40022904192.0,40023171156,170 st,218,218,218,218,218,218,218,218,217,217,D09,IND,Concourse,Bx,B D,Subway,40.839306,-73.9134
37,266964.0,40022904192.0,40023171156,170 st,388,388,388,388,388,388,388,388,387,387,412,IRT,Jerome Av,Bx,4,Elevated,40.840075,-73.91779100000002
38,117815.0,14306945740.0,14307022377,174 st,429,429,429,429,429,429,429,429,428,428,215,IRT,Lenox - White Plains Rd,Bx,2 5,Elevated,40.837288,-73.887734
39,396498.0,1505820902.0,1571497582,174-175 sts,217,217,217,217,217,217,217,217,216,216,D08,IND,Concourse,Bx,B D,Subway,40.8459,-73.910136
40,236373.0,7616691803.0,7616928176,175 st,145,145,145,145,145,145,145,145,147,147,A07,IND,8th Av - Fulton St,M,A,Subway,40.847390999999995,-73.939704
41,101948.0,302845799.0,302947747,176 st,386,386,386,386,386,386,386,386,385,385,410,IRT,Jerome Av,Bx,4,Elevated,40.84848,-73.911794
42,238354.0,36772433943.0,36772672297,18 av,65,65,65,65,65,65,65,65,66,66,B19,BMT,West End,Bk,D,Elevated,40.607954,-74.001736
43,238354.0,36772433943.0,36772672297,18 av,73,73,73,73,73,73,73,73,74,74,N05,BMT,Sea Beach,Bk,N,Open Cut,40.620671,-73.990414
44,238354.0,36772433943.0,36772672297,18 av,246,246,246,246,246,246,246,246,245,245,F30,IND,6th Av - Culver,Bk,F,Elevated,40.629754999999996,-73.97697099999998
45,150969.0,4529210510.0,4529361479,18 st,322,322,322,322,322,322,322,322,321,321,131,IRT,Broadway - 7Av,M,1,Subway,40.74104000000001,-73.99787099999998
46,379824.0,1926597996.0,1926977820,181 st,144,144,144,144,144,144,144,144,146,146,A06,IND,8th Av - Fulton St,M,A,Subway,40.851695,-73.937969
47,379824.0,1926597996.0,1926977820,181 st,302,302,302,302,302,302,302,302,301,301,111,IRT,Broadway - 7Av,M,1,Subway,40.849505,-73.933596
48,85975.0,7909517048.0,9391744460,182-183 sts,215,215,215,215,215,215,215,215,214,214,D06,IND,Concourse,Bx,B D,Subway,40.856093,-73.900741
49,102703.0,91720248568.0,91720351271,183 st,384,384,384,384,384,384,384,384,383,383,408,IRT,Jerome Av,Bx,4,Elevated,40.858407,-73.903879
50,84552.0,27638615331.0,29070326036,190 st,143,143,143,143,143,143,143,143,145,145,A05,IND,8th Av - Fulton St,M,A,Subway,40.859021999999996,-73.93418
51,127332.0,302652014.0,302779346,191 st,301,301,301,301,301,301,301,301,300,300,110,IRT,Broadway - 7Av,M,1,Subway,40.855225,-73.929412
52,312935.0,2591155643.0,2591468578,2 av,233,233,233,233,233,233,233,233,232,232,F14,IND,6th Av - Culver,M,F,Subway,40.723402,-73.989938
53,151615.0,553042073.0,553193688,20 av,66,66,66,66,66,66,66,66,67,67,B20,BMT,West End,Bk,D,Elevated,40.604556,-73.998168
54,151615.0,553042073.0,553193688,20 av,74,74,74,74,74,74,74,74,75,75,N06,BMT,Sea Beach,Bk,N,Open Cut,40.61741,-73.985026
55,108993.0,3177256095.0,3177365088,207 st,299,299,299,299,299,299,299,299,298,298,108,IRT,Broadway - 7Av,M,1,Elevated,40.864621,-73.91882199999998
56,32618.0,73438639.0,73471257,21 st,283,283,283,283,283,283,283,283,282,282,G24,IND,Crosstown,Q,G,Subway,40.744065,-73.949724
57,30020.0,141564790.0,141594810,215 st,298,298,298,298,298,298,298,298,297,297,107,IRT,Broadway - 7Av,M,1,Elevated,40.869444,-73.915279
58,60214.0,243625086.0,243685300,219 st,421,421,421,421,421,421,421,421,420,420,207,IRT,Lenox - White Plains Rd,Bx,2 5,Elevated,40.883895,-73.862633
59,70574.0,39199480578.0,39199551152,225 st,420,420,420,420,420,420,420,420,419,419,206,IRT,Lenox - White Plains Rd,Bx,2 5,Elevated,40.888022,-73.860341
60,2031094.0,133920976574.0,133922852190,23 st,13,13,13,13,13,13,13,13,14,14,R19,BMT,Broadway - Brighton,M,R W,Subway,40.741303,-73.98934399999997
61,2031094.0,133920976574.0,133922852190,23 st,164,164,164,164,164,164,164,164,165,165,A30,IND,8th Av - Fulton St,M,C E,Subway,40.745906,-73.998041
62,2031094.0,133920976574.0,133922852190,23 st,229,229,229,229,229,229,229,229,228,228,D18,IND,6th Av - Culver,M,F M,Subway,40.74287800000001,-73.99282099999998
63,2031094.0,133920976574.0,133922852190,23 st,321,321,321,321,321,321,321,321,320,320,130,IRT,Broadway - 7Av,M,1,Subway,40.744081,-73.995657
64,2031094.0,133920976574.0,133922852190,23 st,406,406,406,406,406,406,406,406,405,405,634,IRT,Lexington Av,M,6,Subway,40.739864000000004,-73.986599
65,162172.0,902947384.0,903109556,231 st,296,296,296,296,296,296,296,296,295,295,104,IRT,Broadway - 7Av,Bx,1,Elevated,40.878856,-73.904834
66,86613.0,1984285091.0,1984371704,233 st,419,419,419,419,419,419,419,419,418,418,205,IRT,Lenox - White Plains Rd,Bx,2 5,Elevated,40.893193,-73.857473
67,74233.0,445526963.0,445601196,238 st,295,295,295,295,295,295,295,295,294,294,103,IRT,Broadway - 7Av,Bx,1,Elevated,40.884667,-73.90087
68,87854.0,163134388.0,163222242,25 av,68,68,68,68,68,68,68,68,69,69,B22,BMT,West End,Bk,D,Elevated,40.597704,-73.986829
69,63434.0,393333534.0,393396968,25 st,30,30,30,30,30,30,30,30,31,31,R35,BMT,4th Av,Bk,R,Subway,40.660396999999996,-73.998091
70,860666.0,33215372731.0,33216233397,28 st,12,12,12,12,12,12,12,12,13,13,R18,BMT,Broadway - Brighton,M,R W,Subway,40.745494,-73.988691
71,860666.0,33215372731.0,33216233397,28 st,320,320,320,320,320,320,320,320,319,319,129,IRT,Broadway - 7Av,M,1,Subway,40.747215000000004,-73.993365
72,860666.0,33215372731.0,33216233397,28 st,405,405,405,405,405,405,405,405,404,404,633,IRT,Lexington Av,M,6,Subway,40.74307,-73.984264
73,129999.0,469686884.0,469816883,3 av,117,117,117,117,117,117,117,117,118,118,L05,BMT,Canarsie,M,L,Subway,40.732849,-73.986122
74,67689.0,310210242.0,310270237,30 av,2,2,2,2,2,2,2,2,3,3,R04,BMT,Astoria,Q,N W,Elevated,40.766779,-73.921479
75,484127.0,10012362068.0,10012846195,33 st,404,404,404,404,404,404,404,404,403,403,632,IRT,Lexington Av,M,6,Subway,40.746081,-73.982076
76,484127.0,10012362068.0,10012846195,33 st,461,461,461,461,461,461,461,461,460,460,716,IRT,Flushing,Q,7,Elevated,40.744587,-73.93099699999998
77,2306555.0,112049421429.0,112051217318,34 st - herald sq,11,11,11,11,11,11,11,11,12,607,R17,BMT,Broadway - Brighton,M,N Q R W,Subway,40.749567,-73.98795
78,2306555.0,112049421429.0,112051217318,34 st - herald sq,228,228,228,228,228,228,228,228,227,607,D17,IND,6th Av - Culver,M,B D F M,Subway,40.749719,-73.98782299999998
79,2985430.0,79627949785.0,79630935215,34 st - penn station,163,163,163,163,163,163,163,163,164,164,A28,IND,8th Av - Fulton St,M,A C E,Subway,40.752287,-73.993391
80,2985430.0,79627949785.0,79630935215,34 st - penn station,319,319,319,319,319,319,319,319,318,318,128,IRT,Broadway - 7Av,M,1 2 3,Subway,40.750372999999996,-73.991057
81,30595.0,276358927.0,288786690,36 av,4,4,4,4,4,4,4,4,5,5,R06,BMT,Astoria,Q,N W,Elevated,40.756803999999995,-73.929575
82,572320.0,3014480525.0,3015052845,36 st,31,31,31,31,31,31,31,31,32,32,R36,BMT,4th Av,Bk,D N R,Subway,40.655144,-74.00354899999998
83,572320.0,3014480525.0,3015052845,36 st,273,273,273,273,273,273,273,273,272,272,G20,IND,Queens Blvd,Q,M R,Subway,40.752039,-73.928781
84,68376.0,155354259.0,155422635,39 av,5,5,5,5,5,5,5,5,6,6,R08,BMT,Astoria,Q,N W,Elevated,40.752882,-73.932755
85,122854.0,192201958.0,192324812,45 st,32,32,32,32,32,32,32,32,33,33,R39,BMT,4th Av,Bk,R,Subway,40.648939,-74.010006
86,159357.0,934053763.0,934213120,46 st,271,271,271,271,271,271,271,271,270,270,G18,IND,Queens Blvd,Q,M R,Subway,40.756312,-73.913333
87,159357.0,934053763.0,934213120,46 st,459,459,459,459,459,459,459,459,458,458,714,IRT,Flushing,Q,7,Elevated,40.743132,-73.918435
88,494975.0,3188338103.0,3188833078,49 st,9,9,9,9,9,9,9,9,10,10,R15,BMT,Broadway - Brighton,M,N R W,Subway,40.759901,-73.984139
89,417925.0,2023545032.0,2023962957,5 av/53 st,277,277,277,277,277,277,277,277,276,276,F12,IND,Queens Blvd,M,E M,Subway,40.760166999999996,-73.975224
90,303162.0,3684086161.0,3684389323,5 av/59 st,7,7,7,7,7,7,7,7,8,8,R13,BMT,Astoria,M,N W R,Subway,40.764811,-73.973347
91,883760.0,3381391667.0,3382275427,50 st,60,60,60,60,60,60,60,60,61,61,B14,BMT,West End,Bk,D,Elevated,40.63626,-73.994791
92,883760.0,3381391667.0,3382275427,50 st,161,161,161,161,161,161,161,161,162,162,A25,IND,8th Av - Fulton St,M,C E,Subway,40.762456,-73.985984
93,883760.0,3381391667.0,3382275427,50 st,317,317,317,317,317,317,317,317,316,316,126,IRT,Broadway - 7Av,M,1,Subway,40.76172800000001,-73.98384899999998
94,372627.0,1607386204.0,1607758831,51 st,402,402,402,402,402,402,402,402,401,612,630,IRT,Lexington Av,M,6,Subway,40.757107,-73.97192
